"BehaviorSpace results (NetLogo 6.0.4)"
"epidemic.nlogo"
"scenario 1"
"04/22/2019 11:37:55:929 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","initial-people","num-infect","immune-chance","recovery-chance","[step]","count turtles with [infected?]","count turtles with [immune? = true]","count turtles","sum [sicktime] of turtles"
"8","1000","100","50","10","27","376","508","1000","6804"
"7","1000","100","50","10","17","391","474","1000","3348"
"5","1000","100","50","10","26","391","471","1000","7820"
"1","1000","100","50","10","30","375","502","1000","7968"
"6","1000","100","50","10","36","421","474","1000","11497"
"3","1000","100","50","10","18","348","495","1000","3902"
"4","1000","100","50","10","34","382","500","1000","9444"
"2","1000","100","50","10","37","384","488","1000","10966"
"6","1000","100","50","10","37","413","474","1000","11918"
"4","1000","100","50","10","35","389","500","1000","9826"
"5","1000","100","50","10","27","397","471","1000","8211"
"8","1000","100","50","10","28","380","508","1000","7180"
"7","1000","100","50","10","18","387","474","1000","3739"
"3","1000","100","50","10","19","365","495","1000","4250"
"2","1000","100","50","10","38","379","488","1000","11350"
"6","1000","100","50","10","38","416","474","1000","12331"
"4","1000","100","50","10","36","378","500","1000","10215"
"5","1000","100","50","10","28","396","471","1000","8608"
"7","1000","100","50","10","19","401","474","1000","4126"
"8","1000","100","50","10","29","380","508","1000","7560"
"2","1000","100","50","10","39","378","488","1000","11729"
"6","1000","100","50","10","39","411","474","1000","12747"
"4","1000","100","50","10","37","377","500","1000","10593"
"3","1000","100","50","10","20","365","495","1000","4615"
"5","1000","100","50","10","29","391","471","1000","9004"
"8","1000","100","50","10","30","380","508","1000","7940"
"7","1000","100","50","10","20","408","474","1000","4527"
"2","1000","100","50","10","40","389","488","1000","12107"
"6","1000","100","50","10","40","413","474","1000","13158"
"4","1000","100","50","10","38","364","500","1000","10970"
"5","1000","100","50","10","30","394","471","1000","9395"
"3","1000","100","50","10","21","379","495","1000","4980"
"8","1000","100","50","10","31","375","508","1000","8320"
"6","1000","100","50","10","41","410","474","1000","13571"
"2","1000","100","50","10","41","406","488","1000","12496"
"7","1000","100","50","10","21","414","474","1000","4935"
"4","1000","100","50","10","39","367","500","1000","11334"
"5","1000","100","50","10","31","388","471","1000","9789"
"6","1000","100","50","10","42","418","474","1000","13981"
"2","1000","100","50","10","42","396","488","1000","12902"
"4","1000","100","50","10","40","367","500","1000","11701"
"7","1000","100","50","10","22","399","474","1000","5349"
"3","1000","100","50","10","22","387","495","1000","5359"
"8","1000","100","50","10","32","369","508","1000","8695"
"6","1000","100","50","10","43","418","474","1000","14399"
"2","1000","100","50","10","43","378","488","1000","13298"
"4","1000","100","50","10","41","372","500","1000","12068"
"5","1000","100","50","10","32","406","471","1000","10177"
"8","1000","100","50","10","33","375","508","1000","9064"
"7","1000","100","50","10","23","406","474","1000","5748"
"3","1000","100","50","10","23","386","495","1000","5746"
"6","1000","100","50","10","44","415","474","1000","14817"
"5","1000","100","50","10","33","405","471","1000","10583"
"8","1000","100","50","10","34","382","508","1000","9439"
"2","1000","100","50","10","44","402","488","1000","13676"
"4","1000","100","50","10","42","369","500","1000","12440"
"1","1000","100","50","10","31","394","502","1000","8343"
"3","1000","100","50","10","24","389","495","1000","6132"
"7","1000","100","50","10","24","407","474","1000","6154"
"6","1000","100","50","10","45","416","474","1000","15232"
"2","1000","100","50","10","45","395","488","1000","14078"
"4","1000","100","50","10","43","379","500","1000","12809"
"1","1000","100","50","10","32","388","502","1000","8737"
"3","1000","100","50","10","25","389","495","1000","6521"
"6","1000","100","50","10","46","413","474","1000","15648"
"7","1000","100","50","10","25","408","474","1000","6561"
"2","1000","100","50","10","46","400","488","1000","14473"
"1","1000","100","50","10","33","371","502","1000","9125"
"6","1000","100","50","10","47","419","474","1000","16061"
"3","1000","100","50","10","26","387","495","1000","6910"
"7","1000","100","50","10","26","408","474","1000","6969"
"2","1000","100","50","10","47","392","488","1000","14873"
"4","1000","100","50","10","44","382","500","1000","13188"
"1","1000","100","50","10","34","384","502","1000","9496"
"6","1000","100","50","10","48","421","474","1000","16480"
"3","1000","100","50","10","27","398","495","1000","7297"
"7","1000","100","50","10","27","400","474","1000","7377"
"2","1000","100","50","10","48","400","488","1000","15265"
"4","1000","100","50","10","45","382","500","1000","13570"
"1","1000","100","50","10","35","378","502","1000","9880"
"3","1000","100","50","10","28","401","495","1000","7695"
"7","1000","100","50","10","28","404","474","1000","7777"
"2","1000","100","50","10","49","409","488","1000","15665"
"6","1000","100","50","10","49","406","474","1000","16901"
"1","1000","100","50","10","36","374","502","1000","10258"
"4","1000","100","50","10","46","372","500","1000","13952"
"5","1000","100","50","10","34","414","471","1000","10988"
"3","1000","100","50","10","29","396","495","1000","8096"
"2","1000","100","50","10","50","406","488","1000","16074"
"7","1000","100","50","10","29","402","474","1000","8181"
"6","1000","100","50","10","50","398","474","1000","17307"
"4","1000","100","50","10","47","373","500","1000","14324"
"1","1000","100","50","10","37","376","502","1000","10632"
"5","1000","100","50","10","35","410","471","1000","11402"
"3","1000","100","50","10","30","377","495","1000","8492"
"2","1000","100","50","10","51","398","488","1000","16480"
"6","1000","100","50","10","51","392","474","1000","17705"
"4","1000","100","50","10","48","378","500","1000","14697"
"1","1000","100","50","10","38","378","502","1000","11008"
"7","1000","100","50","10","30","403","474","1000","8583"
"3","1000","100","50","10","31","381","495","1000","8869"
"2","1000","100","50","10","52","384","488","1000","16878"
"5","1000","100","50","10","36","409","471","1000","11812"
"1","1000","100","50","10","39","385","502","1000","11386"
"4","1000","100","50","10","49","382","500","1000","15075"
"6","1000","100","50","10","52","401","474","1000","18097"
"3","1000","100","50","10","32","386","495","1000","9250"
"7","1000","100","50","10","31","396","474","1000","8986"
"2","1000","100","50","10","53","383","488","1000","17262"
"5","1000","100","50","10","37","395","471","1000","12221"
"1","1000","100","50","10","40","384","502","1000","11771"
"6","1000","100","50","10","53","408","474","1000","18498"
"3","1000","100","50","10","33","380","495","1000","9636"
"4","1000","100","50","10","50","369","500","1000","15457"
"2","1000","100","50","10","54","388","488","1000","17645"
"6","1000","100","50","10","54","414","474","1000","18906"
"5","1000","100","50","10","38","399","471","1000","12616"
"4","1000","100","50","10","51","384","500","1000","15826"
"2","1000","100","50","10","55","374","488","1000","18033"
"7","1000","100","50","10","32","396","474","1000","9382"
"3","1000","100","50","10","34","387","495","1000","10016"
"1","1000","100","50","10","41","389","502","1000","12155"
"5","1000","100","50","10","39","406","471","1000","13015"
"6","1000","100","50","10","55","406","474","1000","19320"
"2","1000","100","50","10","56","379","488","1000","18407"
"4","1000","100","50","10","52","391","500","1000","16210"
"7","1000","100","50","10","33","407","474","1000","9778"
"8","1000","100","50","10","35","382","508","1000","9821"
"1","1000","100","50","10","42","400","502","1000","12544"
"5","1000","100","50","10","40","414","471","1000","13421"
"4","1000","100","50","10","53","390","500","1000","16601"
"7","1000","100","50","10","34","395","474","1000","10185"
"2","1000","100","50","10","57","375","488","1000","18786"
"6","1000","100","50","10","56","398","474","1000","19726"
"8","1000","100","50","10","36","387","508","1000","10203"
"5","1000","100","50","10","41","407","471","1000","13835"
"1","1000","100","50","10","43","396","502","1000","12944"
"4","1000","100","50","10","54","389","500","1000","16991"
"7","1000","100","50","10","35","378","474","1000","10580"
"6","1000","100","50","10","57","405","474","1000","20124"
"8","1000","100","50","10","37","388","508","1000","10590"
"5","1000","100","50","10","42","397","471","1000","14242"
"1","1000","100","50","10","44","400","502","1000","13340"
"4","1000","100","50","10","55","384","500","1000","17380"
"6","1000","100","50","10","58","403","474","1000","20529"
"8","1000","100","50","10","38","390","508","1000","10978"
"2","1000","100","50","10","58","371","488","1000","19161"
"5","1000","100","50","10","43","406","471","1000","14639"
"1","1000","100","50","10","45","396","502","1000","13740"
"4","1000","100","50","10","56","370","500","1000","17764"
"3","1000","100","50","10","35","377","495","1000","10403"
"8","1000","100","50","10","39","387","508","1000","11368"
"6","1000","100","50","10","59","401","474","1000","20932"
"1","1000","100","50","10","46","410","502","1000","14136"
"5","1000","100","50","10","44","410","471","1000","15045"
"2","1000","100","50","10","59","375","488","1000","19532"
"3","1000","100","50","10","36","388","495","1000","10780"
"4","1000","100","50","10","57","368","500","1000","18134"
"8","1000","100","50","10","40","391","508","1000","11755"
"6","1000","100","50","10","60","401","474","1000","21333"
"1","1000","100","50","10","47","391","502","1000","14546"
"5","1000","100","50","10","45","415","471","1000","15455"
"4","1000","100","50","10","58","381","500","1000","18502"
"2","1000","100","50","10","60","377","488","1000","19907"
"6","1000","100","50","10","61","403","474","1000","21734"
"3","1000","100","50","10","37","391","495","1000","11168"
"4","1000","100","50","10","59","383","500","1000","18883"
"1","1000","100","50","10","48","393","502","1000","14937"
"8","1000","100","50","10","41","383","508","1000","12146"
"6","1000","100","50","10","62","389","474","1000","22137"
"2","1000","100","50","10","61","382","488","1000","20284"
"4","1000","100","50","10","60","378","500","1000","19266"
"5","1000","100","50","10","46","419","471","1000","15870"
"6","1000","100","50","10","63","384","474","1000","22526"
"1","1000","100","50","10","49","377","502","1000","15330"
"2","1000","100","50","10","62","372","488","1000","20666"
"8","1000","100","50","10","42","390","508","1000","12529"
"3","1000","100","50","10","38","386","495","1000","11559"
"6","1000","100","50","10","64","386","474","1000","22910"
"4","1000","100","50","10","61","388","500","1000","19644"
"5","1000","100","50","10","47","403","471","1000","16289"
"1","1000","100","50","10","50","376","502","1000","15707"
"6","1000","100","50","10","65","397","474","1000","23296"
"8","1000","100","50","10","43","381","508","1000","12919"
"4","1000","100","50","10","62","376","500","1000","20032"
"1","1000","100","50","10","51","380","502","1000","16083"
"5","1000","100","50","10","48","401","471","1000","16692"
"2","1000","100","50","10","63","380","488","1000","21038"
"6","1000","100","50","10","66","393","474","1000","23693"
"3","1000","100","50","10","39","379","495","1000","11945"
"8","1000","100","50","10","44","376","508","1000","13300"
"2","1000","100","50","10","64","382","488","1000","21418"
"6","1000","100","50","10","67","400","474","1000","24086"
"4","1000","100","50","10","63","380","500","1000","20408"
"1","1000","100","50","10","52","384","502","1000","16463"
"5","1000","100","50","10","49","391","471","1000","17093"
"3","1000","100","50","10","40","368","495","1000","12324"
"8","1000","100","50","10","45","376","508","1000","13676"
"2","1000","100","50","10","65","382","488","1000","21800"
"6","1000","100","50","10","68","403","474","1000","24486"
"5","1000","100","50","10","50","385","471","1000","17484"
"2","1000","100","50","10","66","383","488","1000","22182"
"3","1000","100","50","10","41","381","495","1000","12692"
"4","1000","100","50","10","64","376","500","1000","20788"
"8","1000","100","50","10","46","381","508","1000","14052"
"6","1000","100","50","10","69","413","474","1000","24889"
"2","1000","100","50","10","67","390","488","1000","22565"
"4","1000","100","50","10","65","370","500","1000","21164"
"6","1000","100","50","10","70","409","474","1000","25302"
"8","1000","100","50","10","47","376","508","1000","14433"
"2","1000","100","50","10","68","389","488","1000","22955"
"4","1000","100","50","10","66","374","500","1000","21534"
"5","1000","100","50","10","51","399","471","1000","17869"
"3","1000","100","50","10","42","375","495","1000","13073"
"6","1000","100","50","10","71","409","474","1000","25711"
"8","1000","100","50","10","48","377","508","1000","14809"
"2","1000","100","50","10","69","388","488","1000","23344"
"4","1000","100","50","10","67","382","500","1000","21908"
"5","1000","100","50","10","52","407","471","1000","18268"
"3","1000","100","50","10","43","364","495","1000","13448"
"6","1000","100","50","10","72","419","474","1000","26120"
"8","1000","100","50","10","49","385","508","1000","15186"
"2","1000","100","50","10","70","388","488","1000","23732"
"4","1000","100","50","10","68","399","500","1000","22290"
"5","1000","100","50","10","53","390","471","1000","18675"
"3","1000","100","50","10","44","369","495","1000","13812"
"6","1000","100","50","10","73","414","474","1000","26539"
"2","1000","100","50","10","71","380","488","1000","24120"
"4","1000","100","50","10","69","380","500","1000","22689"
"8","1000","100","50","10","50","388","508","1000","15571"
"5","1000","100","50","10","54","402","471","1000","19065"
"3","1000","100","50","10","45","366","495","1000","14181"
"6","1000","100","50","10","74","421","474","1000","26953"
"2","1000","100","50","10","72","384","488","1000","24500"
"4","1000","100","50","10","70","379","500","1000","23069"
"8","1000","100","50","10","51","382","508","1000","15959"
"5","1000","100","50","10","55","408","471","1000","19467"
"3","1000","100","50","10","46","360","495","1000","14547"
"2","1000","100","50","10","73","378","488","1000","24884"
"6","1000","100","50","10","75","409","474","1000","27374"
"4","1000","100","50","10","71","376","500","1000","23448"
"8","1000","100","50","10","52","376","508","1000","16341"
"5","1000","100","50","10","56","411","471","1000","19875"
"3","1000","100","50","10","47","370","495","1000","14907"
"2","1000","100","50","10","74","380","488","1000","25262"
"6","1000","100","50","10","76","401","474","1000","27783"
"4","1000","100","50","10","72","381","500","1000","23824"
"8","1000","100","50","10","53","387","508","1000","16717"
"1","1000","100","50","10","53","373","502","1000","16847"
"2","1000","100","50","10","75","390","488","1000","25642"
"6","1000","100","50","10","77","405","474","1000","28184"
"7","1000","100","50","10","36","384","474","1000","10958"
"4","1000","100","50","10","73","371","500","1000","24205"
"3","1000","100","50","10","48","372","495","1000","15277"
"2","1000","100","50","10","76","381","488","1000","26032"
"8","1000","100","50","10","54","389","508","1000","17104"
"1","1000","100","50","10","54","363","502","1000","17220"
"6","1000","100","50","10","78","408","474","1000","28589"
"4","1000","100","50","10","74","378","500","1000","24576"
"2","1000","100","50","10","77","385","488","1000","26413"
"6","1000","100","50","10","79","399","474","1000","28997"
"4","1000","100","50","10","75","365","500","1000","24954"
"8","1000","100","50","10","55","374","508","1000","17493"
"7","1000","100","50","10","37","401","474","1000","11342"
"1","1000","100","50","10","55","364","502","1000","17583"
"3","1000","100","50","10","49","376","495","1000","15649"
"2","1000","100","50","10","78","400","488","1000","26798"
"6","1000","100","50","10","80","394","474","1000","29396"
"4","1000","100","50","10","76","369","500","1000","25319"
"8","1000","100","50","10","56","367","508","1000","17867"
"2","1000","100","50","10","79","402","488","1000","27198"
"1","1000","100","50","10","56","372","502","1000","17947"
"4","1000","100","50","10","77","362","500","1000","25688"
"7","1000","100","50","10","38","402","474","1000","11743"
"3","1000","100","50","10","50","375","495","1000","16025"
"2","1000","100","50","10","80","410","488","1000","27600"
"8","1000","100","50","10","57","379","508","1000","18234"
"1","1000","100","50","10","57","370","502","1000","18319"
"4","1000","100","50","10","78","363","500","1000","26050"
"7","1000","100","50","10","39","407","474","1000","12145"
"2","1000","100","50","10","81","408","488","1000","28010"
"3","1000","100","50","10","51","369","495","1000","16400"
"4","1000","100","50","10","79","365","500","1000","26413"
"5","1000","100","50","10","57","410","471","1000","20286"
"1","1000","100","50","10","58","362","502","1000","18689"
"7","1000","100","50","10","40","406","474","1000","12552"
"2","1000","100","50","10","82","412","488","1000","28418"
"3","1000","100","50","10","52","362","495","1000","16769"
"4","1000","100","50","10","80","366","500","1000","26778"
"1","1000","100","50","10","59","361","502","1000","19051"
"5","1000","100","50","10","58","410","471","1000","20696"
"7","1000","100","50","10","41","410","474","1000","12958"
"3","1000","100","50","10","53","361","495","1000","17131"
"6","1000","100","50","10","81","392","474","1000","29790"
"1","1000","100","50","10","60","371","502","1000","19412"
"2","1000","100","50","10","83","414","488","1000","28830"
"7","1000","100","50","10","42","413","474","1000","13368"
"3","1000","100","50","10","54","361","495","1000","17492"
"6","1000","100","50","10","82","393","474","1000","30182"
"2","1000","100","50","10","84","405","488","1000","29244"
"7","1000","100","50","10","43","411","474","1000","13781"
"1","1000","100","50","10","61","374","502","1000","19783"
"6","1000","100","50","10","83","385","474","1000","30575"
"3","1000","100","50","10","55","386","495","1000","17853"
"2","1000","100","50","10","85","400","488","1000","29649"
"6","1000","100","50","10","84","394","474","1000","30960"
"7","1000","100","50","10","44","427","474","1000","14192"
"1","1000","100","50","10","62","387","502","1000","20157"
"2","1000","100","50","10","86","394","488","1000","30049"
"6","1000","100","50","10","85","396","474","1000","31354"
"2","1000","100","50","10","87","393","488","1000","30443"
"6","1000","100","50","10","86","413","474","1000","31750"
"3","1000","100","50","10","56","388","495","1000","18239"
"4","1000","100","50","10","81","379","500","1000","27144"
"7","1000","100","50","10","45","422","474","1000","14619"
"1","1000","100","50","10","63","390","502","1000","20544"
