[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles,sum [sicktime] of turtles
10,100,11,50,50,20,0,100,21
9,100,11,50,50,26,0,100,6
11,100,21,50,50,12,0,100,22
14,100,21,50,50,8,0,100,23
12,100,21,50,50,12,0,100,10
1,100,1,50,50,57,0,100,1
10,100,11,50,50,21,0,100,21
6,100,11,50,50,54,0,100,14
9,100,11,50,50,27,0,100,6
10,100,11,50,50,22,0,100,21
6,100,11,50,50,55,0,100,14
9,100,11,50,50,28,0,100,6
1,100,1,50,50,58,0,100,1
10,100,11,50,50,23,0,100,21
9,100,11,50,50,29,0,100,6
6,100,11,50,50,56,0,100,14
1,100,1,50,50,59,0,100,1
10,100,11,50,50,24,0,100,21
14,100,21,50,50,9,0,100,23
12,100,21,50,50,13,0,100,10
9,100,11,50,50,30,0,100,6
6,100,11,50,50,57,0,100,14
1,100,1,50,50,60,0,100,1
14,100,21,50,50,10,0,100,23
13,100,21,50,50,3,0,100,13
10,100,11,50,50,25,0,100,21
12,100,21,50,50,14,0,100,10
14,100,21,50,50,11,0,100,23
10,100,11,50,50,26,0,100,21
6,100,11,50,50,58,0,100,14
9,100,11,50,50,31,0,100,6
10,100,11,50,50,27,0,100,21
9,100,11,50,50,32,0,100,6
6,100,11,50,50,59,0,100,14
10,100,11,50,50,28,0,100,21
9,100,11,50,50,33,0,100,6
13,100,21,50,50,4,0,100,13
14,100,21,50,50,12,0,100,23
6,100,11,50,50,60,0,100,14
10,100,11,50,50,29,0,100,21
12,100,21,50,50,15,0,100,10
9,100,11,50,50,34,0,100,6
13,100,21,50,50,5,0,100,13
12,100,21,50,50,16,0,100,10
14,100,21,50,50,13,0,100,23
10,100,11,50,50,30,0,100,21
15,100,21,50,50,0,7,100,0
10,100,11,50,50,31,0,100,21
9,100,11,50,50,35,0,100,6
13,100,21,50,50,6,0,100,13
12,100,21,50,50,17,0,100,10
14,100,21,50,50,14,0,100,23
11,100,21,50,50,13,0,100,22
10,100,11,50,50,32,0,100,21
9,100,11,50,50,36,0,100,6
15,100,21,50,50,1,5,100,7
9,100,11,50,50,37,0,100,6
10,100,11,50,50,33,0,100,21
15,100,21,50,50,2,0,100,12
9,100,11,50,50,38,0,100,6
16,100,31,50,50,0,17,100,0
10,100,11,50,50,34,0,100,21
15,100,21,50,50,3,0,100,12
9,100,11,50,50,39,0,100,6
14,100,21,50,50,15,0,100,23
12,100,21,50,50,18,0,100,10
11,100,21,50,50,14,0,100,22
13,100,21,50,50,7,0,100,13
10,100,11,50,50,35,0,100,21
15,100,21,50,50,4,0,100,12
9,100,11,50,50,40,0,100,6
14,100,21,50,50,16,0,100,23
10,100,11,50,50,36,0,100,21
12,100,21,50,50,19,0,100,10
11,100,21,50,50,15,0,100,22
13,100,21,50,50,8,0,100,13
15,100,21,50,50,5,0,100,12
9,100,11,50,50,41,0,100,6
15,100,21,50,50,6,0,100,12
10,100,11,50,50,37,0,100,21
14,100,21,50,50,17,0,100,23
11,100,21,50,50,16,0,100,22
12,100,21,50,50,20,0,100,10
13,100,21,50,50,9,0,100,13
9,100,11,50,50,42,0,100,6
12,100,21,50,50,21,0,100,10
11,100,21,50,50,17,0,100,22
10,100,11,50,50,38,0,100,21
15,100,21,50,50,7,0,100,12
14,100,21,50,50,18,0,100,23
12,100,21,50,50,22,0,100,10
13,100,21,50,50,10,0,100,13
11,100,21,50,50,18,0,100,22
9,100,11,50,50,43,0,100,6
10,100,11,50,50,39,0,100,21
15,100,21,50,50,8,0,100,12
14,100,21,50,50,19,0,100,23
12,100,21,50,50,23,0,100,10
13,100,21,50,50,11,0,100,13
9,100,11,50,50,44,0,100,6
15,100,21,50,50,9,0,100,12
11,100,21,50,50,19,0,100,22
10,100,11,50,50,40,0,100,21
14,100,21,50,50,20,0,100,23
12,100,21,50,50,24,0,100,10
13,100,21,50,50,12,0,100,13
11,100,21,50,50,20,0,100,22
15,100,21,50,50,10,0,100,12
9,100,11,50,50,45,0,100,6
14,100,21,50,50,21,0,100,23
12,100,21,50,50,25,0,100,10
11,100,21,50,50,21,0,100,22
13,100,21,50,50,13,0,100,13
10,100,11,50,50,41,0,100,21
14,100,21,50,50,22,0,100,23
15,100,21,50,50,11,0,100,12
9,100,11,50,50,46,0,100,6
11,100,21,50,50,22,0,100,22
13,100,21,50,50,14,0,100,13
12,100,21,50,50,26,0,100,10
14,100,21,50,50,23,0,100,23
10,100,11,50,50,42,0,100,21
15,100,21,50,50,12,0,100,12
9,100,11,50,50,47,0,100,6
11,100,21,50,50,23,0,100,22
13,100,21,50,50,15,0,100,13
14,100,21,50,50,24,0,100,23
12,100,21,50,50,27,0,100,10
15,100,21,50,50,13,0,100,12
9,100,11,50,50,48,0,100,6
11,100,21,50,50,24,0,100,22
10,100,11,50,50,43,0,100,21
13,100,21,50,50,16,0,100,13
14,100,21,50,50,25,0,100,23
11,100,21,50,50,25,0,100,22
13,100,21,50,50,17,0,100,13
15,100,21,50,50,14,0,100,12
12,100,21,50,50,28,0,100,10
11,100,21,50,50,26,0,100,22
14,100,21,50,50,26,0,100,23
13,100,21,50,50,18,0,100,13
9,100,11,50,50,49,0,100,6
10,100,11,50,50,44,0,100,21
12,100,21,50,50,29,0,100,10
15,100,21,50,50,15,0,100,12
10,100,11,50,50,45,0,100,21
11,100,21,50,50,27,0,100,22
9,100,11,50,50,50,0,100,6
14,100,21,50,50,27,0,100,23
13,100,21,50,50,19,0,100,13
15,100,21,50,50,16,0,100,12
10,100,11,50,50,46,0,100,21
12,100,21,50,50,30,0,100,10
11,100,21,50,50,28,0,100,22
9,100,11,50,50,51,0,100,6
15,100,21,50,50,17,0,100,12
10,100,11,50,50,47,0,100,21
14,100,21,50,50,28,0,100,23
13,100,21,50,50,20,0,100,13
11,100,21,50,50,29,0,100,22
12,100,21,50,50,31,0,100,10
15,100,21,50,50,18,0,100,12
9,100,11,50,50,52,0,100,6
14,100,21,50,50,29,0,100,23
10,100,11,50,50,48,0,100,21
13,100,21,50,50,21,0,100,13
12,100,21,50,50,32,0,100,10
11,100,21,50,50,30,0,100,22
14,100,21,50,50,30,0,100,23
13,100,21,50,50,22,0,100,13
12,100,21,50,50,33,0,100,10
15,100,21,50,50,19,0,100,12
11,100,21,50,50,31,0,100,22
14,100,21,50,50,31,0,100,23
9,100,11,50,50,53,0,100,6
13,100,21,50,50,23,0,100,13
12,100,21,50,50,34,0,100,10
10,100,11,50,50,49,0,100,21
11,100,21,50,50,32,0,100,22
14,100,21,50,50,32,0,100,23
13,100,21,50,50,24,0,100,13
9,100,11,50,50,54,0,100,6
11,100,21,50,50,33,0,100,22
12,100,21,50,50,35,0,100,10
15,100,21,50,50,20,0,100,12
10,100,11,50,50,50,0,100,21
14,100,21,50,50,33,0,100,23
11,100,21,50,50,34,0,100,22
13,100,21,50,50,25,0,100,13
