"BehaviorSpace results (NetLogo 6.0.4)"
"epidemic.nlogo"
"scenario 1"
"04/22/2019 11:20:28:822 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","initial-people","num-infect","immune-chance","recovery-chance","[step]","count turtles with [infected?]","count turtles with [immune? = true]","count turtles","sum [sicktime] of turtles"
"4","1000","100","50","10","21","409","456","1000","5514"
"2","1000","100","50","10","20","330","509","1000","4062"
"1","1000","100","50","10","22","380","483","1000","5222"
"6","1000","100","50","10","23","384","491","1000","5966"
"4","1000","100","50","10","22","414","456","1000","5923"
"3","1000","100","50","10","20","363","489","1000","4477"
"6","1000","100","50","10","24","382","491","1000","6350"
"7","1000","100","50","10","20","356","514","1000","4211"
"4","1000","100","50","10","23","417","456","1000","6337"
"2","1000","100","50","10","21","329","509","1000","4392"
"8","1000","100","50","10","21","389","478","1000","4995"
"1","1000","100","50","10","23","384","483","1000","5602"
"5","1000","100","50","10","17","370","481","1000","3709"
"4","1000","100","50","10","24","425","456","1000","6754"
"1","1000","100","50","10","24","396","483","1000","5986"
"6","1000","100","50","10","25","384","491","1000","6732"
"3","1000","100","50","10","21","383","489","1000","4840"
"5","1000","100","50","10","18","375","481","1000","4079"
"8","1000","100","50","10","22","380","478","1000","5384"
"7","1000","100","50","10","21","358","514","1000","4567"
"2","1000","100","50","10","22","347","509","1000","4721"
"1","1000","100","50","10","25","404","483","1000","6382"
"4","1000","100","50","10","25","429","456","1000","7179"
"6","1000","100","50","10","26","365","491","1000","7116"
"4","1000","100","50","10","26","429","456","1000","7608"
"1","1000","100","50","10","26","411","483","1000","6786"
"5","1000","100","50","10","19","383","481","1000","4454"
"6","1000","100","50","10","27","371","491","1000","7481"
"3","1000","100","50","10","22","373","489","1000","5223"
"7","1000","100","50","10","22","364","514","1000","4925"
"2","1000","100","50","10","23","358","509","1000","5068"
"8","1000","100","50","10","23","381","478","1000","5764"
"6","1000","100","50","10","28","360","491","1000","7852"
"4","1000","100","50","10","27","424","456","1000","8037"
"1","1000","100","50","10","27","401","483","1000","7197"
"5","1000","100","50","10","20","396","481","1000","4837"
"7","1000","100","50","10","23","363","514","1000","5289"
"3","1000","100","50","10","23","373","489","1000","5596"
"2","1000","100","50","10","24","355","509","1000","5426"
"6","1000","100","50","10","29","371","491","1000","8212"
"8","1000","100","50","10","24","395","478","1000","6145"
"1","1000","100","50","10","28","411","483","1000","7598"
"3","1000","100","50","10","24","380","489","1000","5969"
"5","1000","100","50","10","21","391","481","1000","5233"
"7","1000","100","50","10","24","366","514","1000","5652"
"1","1000","100","50","10","29","411","483","1000","8009"
"6","1000","100","50","10","30","373","491","1000","8583"
"8","1000","100","50","10","25","388","478","1000","6540"
"2","1000","100","50","10","25","361","509","1000","5781"
"3","1000","100","50","10","25","383","489","1000","6349"
"5","1000","100","50","10","22","399","481","1000","5624"
"1","1000","100","50","10","30","406","483","1000","8420"
"7","1000","100","50","10","25","355","514","1000","6018"
"3","1000","100","50","10","26","382","489","1000","6732"
"2","1000","100","50","10","26","362","509","1000","6142"
"5","1000","100","50","10","23","392","481","1000","6023"
"8","1000","100","50","10","26","395","478","1000","6928"
"1","1000","100","50","10","31","412","483","1000","8826"
"5","1000","100","50","10","24","399","481","1000","6415"
"8","1000","100","50","10","27","410","478","1000","7323"
"7","1000","100","50","10","26","359","514","1000","6373"
"3","1000","100","50","10","27","394","489","1000","7114"
"2","1000","100","50","10","27","370","509","1000","6504"
"5","1000","100","50","10","25","408","481","1000","6814"
"8","1000","100","50","10","28","393","478","1000","7733"
"3","1000","100","50","10","28","404","489","1000","7508"
"7","1000","100","50","10","27","369","514","1000","6732"
"2","1000","100","50","10","28","368","509","1000","6874"
"1","1000","100","50","10","32","407","483","1000","9238"
"5","1000","100","50","10","26","409","481","1000","7222"
"8","1000","100","50","10","29","381","478","1000","8126"
"1","1000","100","50","10","33","398","483","1000","9645"
"3","1000","100","50","10","29","399","489","1000","7912"
"7","1000","100","50","10","28","356","514","1000","7101"
"5","1000","100","50","10","27","412","481","1000","7631"
"1","1000","100","50","10","34","407","483","1000","10043"
"8","1000","100","50","10","30","372","478","1000","8507"
"2","1000","100","50","10","29","376","509","1000","7242"
"3","1000","100","50","10","30","409","489","1000","8311"
"1","1000","100","50","10","35","394","483","1000","10450"
"6","1000","100","50","10","31","384","491","1000","8956"
"7","1000","100","50","10","29","356","514","1000","7457"
"8","1000","100","50","10","31","377","478","1000","8879"
"5","1000","100","50","10","28","416","481","1000","8043"
"4","1000","100","50","10","28","428","456","1000","8461"
"3","1000","100","50","10","31","402","489","1000","8720"
"2","1000","100","50","10","30","375","509","1000","7618"
"6","1000","100","50","10","32","384","491","1000","9340"
"5","1000","100","50","10","29","425","481","1000","8459"
"8","1000","100","50","10","32","381","478","1000","9256"
"3","1000","100","50","10","32","394","489","1000","9122"
"2","1000","100","50","10","31","381","509","1000","7993"
"6","1000","100","50","10","33","394","491","1000","9724"
"4","1000","100","50","10","29","443","456","1000","8889"
"5","1000","100","50","10","30","418","481","1000","8884"
"6","1000","100","50","10","34","392","491","1000","10118"
"4","1000","100","50","10","30","431","456","1000","9332"
"2","1000","100","50","10","32","379","509","1000","8374"
"5","1000","100","50","10","31","404","481","1000","9302"
"6","1000","100","50","10","35","399","491","1000","10510"
"5","1000","100","50","10","32","395","481","1000","9706"
"4","1000","100","50","10","31","438","456","1000","9763"
"2","1000","100","50","10","33","381","509","1000","8753"
"7","1000","100","50","10","30","344","514","1000","7813"
"1","1000","100","50","10","36","401","483","1000","10844"
"6","1000","100","50","10","36","398","491","1000","10909"
"4","1000","100","50","10","32","431","456","1000","10201"
"7","1000","100","50","10","31","342","514","1000","8157"
"5","1000","100","50","10","33","393","481","1000","10101"
"6","1000","100","50","10","37","386","491","1000","11307"
"3","1000","100","50","10","33","401","489","1000","9516"
"4","1000","100","50","10","33","434","456","1000","10632"
"1","1000","100","50","10","37","408","483","1000","11245"
"5","1000","100","50","10","34","399","481","1000","10494"
"7","1000","100","50","10","32","350","514","1000","8499"
"6","1000","100","50","10","38","392","491","1000","11693"
"4","1000","100","50","10","34","431","456","1000","11066"
"3","1000","100","50","10","34","406","489","1000","9917"
"1","1000","100","50","10","38","398","483","1000","11653"
"5","1000","100","50","10","35","398","481","1000","10893"
"7","1000","100","50","10","33","354","514","1000","8849"
"3","1000","100","50","10","35","398","489","1000","10323"
"4","1000","100","50","10","35","439","456","1000","11497"
"2","1000","100","50","10","34","379","509","1000","9134"
"6","1000","100","50","10","39","392","491","1000","12085"
"8","1000","100","50","10","33","388","478","1000","9637"
"7","1000","100","50","10","34","348","514","1000","9203"
"1","1000","100","50","10","39","395","483","1000","12051"
"5","1000","100","50","10","36","384","481","1000","11291"
"3","1000","100","50","10","36","381","489","1000","10721"
"4","1000","100","50","10","36","422","456","1000","11936"
"1","1000","100","50","10","40","387","483","1000","12446"
"6","1000","100","50","10","40","388","491","1000","12477"
"7","1000","100","50","10","35","356","514","1000","9551"
"3","1000","100","50","10","37","383","489","1000","11102"
"2","1000","100","50","10","35","367","509","1000","9513"
"4","1000","100","50","10","37","424","456","1000","12358"
"6","1000","100","50","10","41","389","491","1000","12865"
"4","1000","100","50","10","38","417","456","1000","12782"
"3","1000","100","50","10","38","381","489","1000","11485"
"7","1000","100","50","10","36","365","514","1000","9907"
"2","1000","100","50","10","36","380","509","1000","9880"
"8","1000","100","50","10","34","381","478","1000","10025"
