[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles with [immune? = true],count turtles,sum [sicktime] of turtles
4,1000,100,80,10,90,47,812,1000,3608
2,1000,100,80,10,91,77,790,1000,5174
3,1000,100,80,10,95,70,785,1000,4938
4,1000,100,80,10,91,49,812,1000,3655
5,1000,100,80,10,93,20,817,1000,1189
1,1000,100,80,10,88,46,822,1000,3696
2,1000,100,80,10,92,74,790,1000,5251
3,1000,100,80,10,96,71,785,1000,5008
5,1000,100,80,10,94,20,817,1000,1209
4,1000,100,80,10,92,48,812,1000,3704
1,1000,100,80,10,89,44,822,1000,3742
3,1000,100,80,10,97,71,785,1000,5079
5,1000,100,80,10,95,21,817,1000,1229
2,1000,100,80,10,93,71,790,1000,5325
4,1000,100,80,10,93,49,812,1000,3752
5,1000,100,80,10,96,23,817,1000,1250
1,1000,100,80,10,90,43,822,1000,3786
3,1000,100,80,10,98,73,785,1000,5150
2,1000,100,80,10,94,69,790,1000,5396
4,1000,100,80,10,94,48,812,1000,3801
5,1000,100,80,10,97,25,817,1000,1273
3,1000,100,80,10,99,70,785,1000,5223
1,1000,100,80,10,91,42,822,1000,3829
2,1000,100,80,10,95,70,790,1000,5465
5,1000,100,80,10,98,26,817,1000,1298
4,1000,100,80,10,95,47,812,1000,3849
3,1000,100,80,10,100,74,785,1000,5293
1,1000,100,80,10,92,42,822,1000,3871
2,1000,100,80,10,96,75,790,1000,5535
5,1000,100,80,10,99,28,817,1000,1324
4,1000,100,80,10,96,42,812,1000,3896
3,1000,100,80,10,101,82,785,1000,5367
1,1000,100,80,10,93,41,822,1000,3913
2,1000,100,80,10,97,76,790,1000,5610
5,1000,100,80,10,100,26,817,1000,1352
3,1000,100,80,10,102,84,785,1000,5449
4,1000,100,80,10,97,46,812,1000,3938
2,1000,100,80,10,98,76,790,1000,5686
1,1000,100,80,10,94,40,822,1000,3954
5,1000,100,80,10,101,25,817,1000,1378
3,1000,100,80,10,103,88,785,1000,5533
2,1000,100,80,10,99,81,790,1000,5762
