[run number],initial-people,num-infect,immune-chance,recovery-chance,[step],count turtles with [infected?],count turtles,sum [sicktime] of turtles
1,1000,100,80,10,24,38,1000,784
8,1000,100,80,10,27,52,1000,1008
3,1000,100,80,10,39,52,1000,1301
4,1000,100,80,10,35,91,1000,2045
5,1000,100,80,10,27,30,1000,692
7,1000,100,80,10,25,26,1000,383
6,1000,100,80,10,31,41,1000,1176
2,1000,100,80,10,22,35,1000,472
1,1000,100,80,10,25,38,1000,822
3,1000,100,80,10,40,56,1000,1353
8,1000,100,80,10,28,50,1000,1060
5,1000,100,80,10,28,31,1000,722
6,1000,100,80,10,32,40,1000,1217
4,1000,100,80,10,36,91,1000,2136
1,1000,100,80,10,26,41,1000,860
2,1000,100,80,10,23,38,1000,507
7,1000,100,80,10,26,25,1000,409
3,1000,100,80,10,41,53,1000,1409
5,1000,100,80,10,29,29,1000,753
8,1000,100,80,10,29,52,1000,1110
6,1000,100,80,10,33,43,1000,1257
3,1000,100,80,10,42,53,1000,1462
2,1000,100,80,10,24,40,1000,545
1,1000,100,80,10,27,41,1000,901
7,1000,100,80,10,27,24,1000,434
4,1000,100,80,10,37,98,1000,2227
6,1000,100,80,10,34,43,1000,1300
8,1000,100,80,10,30,52,1000,1162
5,1000,100,80,10,30,26,1000,782
3,1000,100,80,10,43,50,1000,1515
2,1000,100,80,10,25,42,1000,585
1,1000,100,80,10,28,50,1000,942
7,1000,100,80,10,28,27,1000,458
6,1000,100,80,10,35,40,1000,1343
8,1000,100,80,10,31,52,1000,1214
5,1000,100,80,10,31,26,1000,808
4,1000,100,80,10,38,100,1000,2325
2,1000,100,80,10,26,42,1000,627
1,1000,100,80,10,29,51,1000,992
6,1000,100,80,10,36,38,1000,1383
3,1000,100,80,10,44,51,1000,1565
8,1000,100,80,10,32,51,1000,1266
7,1000,100,80,10,29,28,1000,485
5,1000,100,80,10,32,21,1000,834
4,1000,100,80,10,39,107,1000,2425
6,1000,100,80,10,37,36,1000,1421
1,1000,100,80,10,30,52,1000,1043
2,1000,100,80,10,27,45,1000,669
8,1000,100,80,10,33,44,1000,1317
7,1000,100,80,10,30,27,1000,513
5,1000,100,80,10,33,24,1000,855
6,1000,100,80,10,38,31,1000,1457
4,1000,100,80,10,40,98,1000,2532
2,1000,100,80,10,28,42,1000,714
1,1000,100,80,10,31,53,1000,1095
8,1000,100,80,10,34,51,1000,1361
7,1000,100,80,10,31,30,1000,540
5,1000,100,80,10,34,23,1000,879
6,1000,100,80,10,39,32,1000,1488
1,1000,100,80,10,32,51,1000,1148
7,1000,100,80,10,32,31,1000,570
4,1000,100,80,10,41,100,1000,2630
